"Schaefer2018_600Parcels_7Networks_order_FSLMNI152_1mm","Schaefer7_600"
"region","label"
1,"7Networks_LH_Vis_1"
2,"7Networks_LH_Vis_2"
3,"7Networks_LH_Vis_3"
4,"7Networks_LH_Vis_4"
5,"7Networks_LH_Vis_5"
6,"7Networks_LH_Vis_6"
7,"7Networks_LH_Vis_7"
8,"7Networks_LH_Vis_8"
9,"7Networks_LH_Vis_9"
10,"7Networks_LH_Vis_10"
11,"7Networks_LH_Vis_11"
12,"7Networks_LH_Vis_12"
13,"7Networks_LH_Vis_13"
14,"7Networks_LH_Vis_14"
15,"7Networks_LH_Vis_15"
16,"7Networks_LH_Vis_16"
17,"7Networks_LH_Vis_17"
18,"7Networks_LH_Vis_18"
19,"7Networks_LH_Vis_19"
20,"7Networks_LH_Vis_20"
21,"7Networks_LH_Vis_21"
22,"7Networks_LH_Vis_22"
23,"7Networks_LH_Vis_23"
24,"7Networks_LH_Vis_24"
25,"7Networks_LH_Vis_25"
26,"7Networks_LH_Vis_26"
27,"7Networks_LH_Vis_27"
28,"7Networks_LH_Vis_28"
29,"7Networks_LH_Vis_29"
30,"7Networks_LH_Vis_30"
31,"7Networks_LH_Vis_31"
32,"7Networks_LH_Vis_32"
33,"7Networks_LH_Vis_33"
34,"7Networks_LH_Vis_34"
35,"7Networks_LH_Vis_35"
36,"7Networks_LH_Vis_36"
37,"7Networks_LH_Vis_37"
38,"7Networks_LH_Vis_38"
39,"7Networks_LH_Vis_39"
40,"7Networks_LH_Vis_40"
41,"7Networks_LH_Vis_41"
42,"7Networks_LH_Vis_42"
43,"7Networks_LH_Vis_43"
44,"7Networks_LH_Vis_44"
45,"7Networks_LH_Vis_45"
46,"7Networks_LH_SomMot_1"
47,"7Networks_LH_SomMot_2"
48,"7Networks_LH_SomMot_3"
49,"7Networks_LH_SomMot_4"
50,"7Networks_LH_SomMot_5"
51,"7Networks_LH_SomMot_6"
52,"7Networks_LH_SomMot_7"
53,"7Networks_LH_SomMot_8"
54,"7Networks_LH_SomMot_9"
55,"7Networks_LH_SomMot_10"
56,"7Networks_LH_SomMot_11"
57,"7Networks_LH_SomMot_12"
58,"7Networks_LH_SomMot_13"
59,"7Networks_LH_SomMot_14"
60,"7Networks_LH_SomMot_15"
61,"7Networks_LH_SomMot_16"
62,"7Networks_LH_SomMot_17"
63,"7Networks_LH_SomMot_18"
64,"7Networks_LH_SomMot_19"
65,"7Networks_LH_SomMot_20"
66,"7Networks_LH_SomMot_21"
67,"7Networks_LH_SomMot_22"
68,"7Networks_LH_SomMot_23"
69,"7Networks_LH_SomMot_24"
70,"7Networks_LH_SomMot_25"
71,"7Networks_LH_SomMot_26"
72,"7Networks_LH_SomMot_27"
73,"7Networks_LH_SomMot_28"
74,"7Networks_LH_SomMot_29"
75,"7Networks_LH_SomMot_30"
76,"7Networks_LH_SomMot_31"
77,"7Networks_LH_SomMot_32"
78,"7Networks_LH_SomMot_33"
79,"7Networks_LH_SomMot_34"
80,"7Networks_LH_SomMot_35"
81,"7Networks_LH_SomMot_36"
