data	data	689752	270972	426512	89196	60960	110560	347596	510892	98012	55940	45668	107320	103656	36188	52568	79712	214608	235388	52300	111992	105228	424932	111176	139672	104964	80284	271580	118200	215504	170976	334160	188024	292028	254036	96200	284816	79940	106256	178104	137452	49080	83244	102608	176676	45824	101592	26696	257772	508632	175616	311168	88464	79544	127436	343080	476020	49948	18308	50052	112112	91288	78152	63116	74596	326416	197360	48416	91592	66832	438400	88928	189576	65016	87084	268240	145204	249576	278904	376892	217036	274864	309792	165356	331284	67292	141432	185768	150240	50700	86608	34384	106452	42128	48656	22960	263736	341108	870220	288016	407872	218916	911488	447200	239664	87380	457944	744108	135968	462876	373164	394880	217324	68208	
data	data	HarvardOxford-combined_1	HarvardOxford-combined_2	HarvardOxford-combined_3	HarvardOxford-combined_4	HarvardOxford-combined_5	HarvardOxford-combined_6	HarvardOxford-combined_7	HarvardOxford-combined_8	HarvardOxford-combined_9	HarvardOxford-combined_10	HarvardOxford-combined_11	HarvardOxford-combined_12	HarvardOxford-combined_13	HarvardOxford-combined_14	HarvardOxford-combined_15	HarvardOxford-combined_16	HarvardOxford-combined_17	HarvardOxford-combined_18	HarvardOxford-combined_19	HarvardOxford-combined_20	HarvardOxford-combined_21	HarvardOxford-combined_22	HarvardOxford-combined_23	HarvardOxford-combined_24	HarvardOxford-combined_25	HarvardOxford-combined_26	HarvardOxford-combined_27	HarvardOxford-combined_28	HarvardOxford-combined_29	HarvardOxford-combined_30	HarvardOxford-combined_31	HarvardOxford-combined_32	HarvardOxford-combined_33	HarvardOxford-combined_34	HarvardOxford-combined_35	HarvardOxford-combined_36	HarvardOxford-combined_37	HarvardOxford-combined_38	HarvardOxford-combined_39	HarvardOxford-combined_40	HarvardOxford-combined_41	HarvardOxford-combined_42	HarvardOxford-combined_43	HarvardOxford-combined_44	HarvardOxford-combined_45	HarvardOxford-combined_46	HarvardOxford-combined_47	HarvardOxford-combined_48	HarvardOxford-combined_101	HarvardOxford-combined_102	HarvardOxford-combined_103	HarvardOxford-combined_104	HarvardOxford-combined_105	HarvardOxford-combined_106	HarvardOxford-combined_107	HarvardOxford-combined_108	HarvardOxford-combined_109	HarvardOxford-combined_110	HarvardOxford-combined_111	HarvardOxford-combined_112	HarvardOxford-combined_113	HarvardOxford-combined_114	HarvardOxford-combined_115	HarvardOxford-combined_116	HarvardOxford-combined_117	HarvardOxford-combined_118	HarvardOxford-combined_119	HarvardOxford-combined_120	HarvardOxford-combined_121	HarvardOxford-combined_122	HarvardOxford-combined_123	HarvardOxford-combined_124	HarvardOxford-combined_125	HarvardOxford-combined_126	HarvardOxford-combined_127	HarvardOxford-combined_128	HarvardOxford-combined_129	HarvardOxford-combined_130	HarvardOxford-combined_131	HarvardOxford-combined_132	HarvardOxford-combined_133	HarvardOxford-combined_134	HarvardOxford-combined_135	HarvardOxford-combined_136	HarvardOxford-combined_137	HarvardOxford-combined_138	HarvardOxford-combined_139	HarvardOxford-combined_140	HarvardOxford-combined_141	HarvardOxford-combined_142	HarvardOxford-combined_143	HarvardOxford-combined_144	HarvardOxford-combined_145	HarvardOxford-combined_146	HarvardOxford-combined_147	HarvardOxford-combined_148	HarvardOxford-combined_203	HarvardOxford-combined_204	HarvardOxford-combined_205	HarvardOxford-combined_206	HarvardOxford-combined_207	HarvardOxford-combined_208	HarvardOxford-combined_209	HarvardOxford-combined_210	HarvardOxford-combined_211	HarvardOxford-combined_214	HarvardOxford-combined_215	HarvardOxford-combined_216	HarvardOxford-combined_217	HarvardOxford-combined_218	HarvardOxford-combined_219	HarvardOxford-combined_220	HarvardOxford-combined_221	
215504	HarvardOxford-combined_29	5742	42	8852	10	4	8	806	300	0	2	2	4	0	4	0	0	142	20	0	0	0	32	0	48	682	3520	6186	7864	0	6124	2434	74	288	238	46	108	30	20	10	4	6	0	2	10	0	2	8	26	7954	54	4922	14	316	398	576	470	10	0	6	8	2	16	34	4	150	100	0	0	0	414	22	76	506	2970	5816	5346	20418	3456	1540	210	1020	172	68	142	32	6	148	292	106	2	0	12	2	0	0	396	204	528	178	660	148	474	250	342	282	560	598	54	368	124	378	120	578	
170976	HarvardOxford-combined_30	754	80	2912	2	2	4	1658	1620	48	0	14	2	0	0	0	0	190	22	0	0	0	912	4	1572	106	392	1014	1646	6124	0	12404	1236	352	3750	2162	2028	352	276	76	16	2	0	0	96	0	0	444	72	1430	10	932	2	26	26	444	244	4	0	0	2	0	26	6	0	848	228	0	0	0	1622	2	84	114	366	838	1444	4154	10962	5358	154	236	192	108	112	46	6	50	96	14	2	0	6	0	0	8	144	244	698	226	140	72	794	396	178	74	526	2892	266	182	162	5116	672	160	
334160	HarvardOxford-combined_31	700	124	1420	24	2	22	538	2588	44	28	14	34	14	14	2	16	906	4090	10	40	2	11500	6	4550	136	340	492	790	2434	12404	0	8804	394	5990	3210	2550	1084	954	240	60	4	2	34	106	2	36	2084	740	894	24	950	2	44	30	218	582	2	0	4	8	2	150	30	8	2248	832	0	0	0	10408	6	2166	34	422	332	1204	3028	10792	19162	1848	150	762	772	1096	90	82	136	84	8	0	0	12	0	0	236	740	966	4468	438	528	252	7290	1760	420	86	3240	7724	438	684	1948	6802	744	116	
188024	HarvardOxford-combined_32	1218	634	98	10	24	8	28	1246	300	0	140	66	4	510	104	40	10	10	0	0	0	5354	78	8778	60	6	132	48	74	1236	8804	0	450	802	1300	6230	248	398	1880	150	10	14	0	630	10	0	1548	4920	742	10	88	0	12	6	4	682	24	0	8	4	0	278	8	6	18	10	0	2	2	642	2	6730	20	20	206	90	250	1294	4070	6690	216	622	808	3484	86	144	344	84	0	2	0	50	0	0	822	2550	848	2000	194	634	258	1302	1542	274	106	2522	2048	108	1506	754	980	160	36	
292028	HarvardOxford-combined_33	19266	18884	670	34	1804	120	406	18540	354	110	26	602	316	58	104	254	734	1182	112	178	178	1982	108	994	4946	4	9162	472	288	352	394	450	0	4722	480	1550	92	72	162	984	1552	392	560	5780	110	372	78	3746	422	12	78	0	54	46	204	834	4	0	0	0	0	124	4	4	208	66	0	0	0	164	2	180	192	36	1378	394	374	116	192	162	468	608	114	216	172	76	34	58	8	2	0	6	2	0	14	242	1058	2890	492	478	376	1604	1542	666	192	2296	4322	248	6284	748	4654	6256	902	
254036	HarvardOxford-combined_34	1798	234	476	8	6	22	188	14652	26	0	4	4	4	14	18	34	112	52	0	0	0	1822	58	532	1060	16	2914	250	238	3750	5990	802	4722	0	5162	1208	3738	3758	876	400	2	2	0	92	0	0	308	288	582	32	136	0	66	36	160	536	2	0	2	0	0	114	10	12	172	74	0	0	0	152	2	304	60	34	484	116	154	268	352	246	222	594	262	646	114	140	186	60	2	0	0	14	0	0	8	254	538	2372	310	614	402	7568	2010	586	106	2478	11098	1558	1224	918	22242	9790	956	
96200	HarvardOxford-combined_35	772	212	60	4	6	2	82	2100	290	0	82	20	4	36	8	18	78	34	0	0	4	1422	82	1746	106	8	192	46	46	2162	3210	1300	480	5162	0	4904	2176	3748	1946	196	0	0	0	368	0	0	440	770	262	6	22	0	4	2	22	190	4	0	2	0	0	30	2	0	16	20	0	0	0	68	0	192	14	10	100	16	26	40	102	112	80	226	174	394	62	62	62	32	0	0	0	12	0	0	14	120	150	868	50	292	120	2068	1072	138	28	290	1374	82	300	138	3944	314	50	
284816	HarvardOxford-combined_36	3810	1194	240	10	10	30	112	3640	1608	2	870	306	4	592	48	224	106	92	2	0	2	1548	332	10706	310	6	334	68	108	2028	2550	6230	1550	1208	4904	0	634	2858	15466	13746	2	0	0	1692	0	0	536	5044	2040	152	78	0	32	20	66	754	12	0	132	2	2	142	40	88	68	80	0	0	0	346	16	2304	80	30	308	50	120	592	858	452	1096	848	1388	12222	124	1820	4396	1530	6	4	0	356	0	0	306	1304	816	2282	382	1244	276	6848	1386	242	150	1196	3482	496	1556	694	1758	402	172	
79940	HarvardOxford-combined_37	332	22	24	2	0	14	26	3358	8	0	4	0	72	384	918	676	22	20	0	0	2	1452	1208	180	32	2	74	40	30	352	1084	248	92	3738	2176	634	0	6932	1484	14	2	0	0	14	0	0	136	256	194	8	16	0	6	0	6	136	2	0	0	0	0	44	0	2	16	0	0	0	0	22	0	140	4	6	60	12	18	42	72	92	62	152	74	228	46	12	8	14	0	0	0	4	0	0	2	102	172	788	108	216	86	456	808	88	32	1244	2702	496	472	168	4076	186	206	
106256	HarvardOxford-combined_38	250	36	24	4	0	8	22	1476	14	0	8	6	118	98	1786	2284	32	30	0	0	8	3784	3246	290	20	4	48	30	20	276	954	398	72	3758	3748	2858	6932	0	7714	278	2	0	0	32	0	0	134	1022	186	2	16	0	4	2	14	134	2	0	0	0	0	38	4	4	12	4	0	0	0	40	0	162	0	2	52	6	16	36	58	102	60	236	290	542	44	90	134	44	0	0	0	4	0	0	4	102	148	740	54	218	82	970	818	110	24	608	1474	246	178	104	2836	102	146	
178104	HarvardOxford-combined_39	528	76	136	2	0	6	54	1332	270	0	308	158	100	1280	2044	4742	58	104	0	0	8	7998	5552	1484	62	2	36	10	10	76	240	1880	162	876	1946	15466	1484	7714	0	10816	0	0	0	196	0	0	42	5478	34	0	46	0	2	2	32	90	0	0	0	0	0	8	6	40	34	40	0	0	0	100	0	66	0	2	20	6	12	24	70	54	20	354	520	4046	20	1564	2976	202	0	0	0	0	0	0	4	44	60	216	16	50	72	4134	132	64	8	70	314	42	226	224	174	60	16	
137452	HarvardOxford-combined_40	1498	1024	162	6	14	12	34	2690	1786	0	1308	472	8	716	100	408	36	42	2	0	0	1690	3430	3432	20	4	34	2	4	16	60	150	984	400	196	13746	14	278	10816	0	12	2	0	1486	2	0	212	7782	42	2	36	0	10	6	32	68	0	0	0	0	0	8	8	54	20	38	0	0	0	86	2	18	2	6	24	2	2	16	38	30	18	282	80	2098	12	780	2724	240	0	0	0	0	0	0	2	34	122	214	48	52	86	4528	70	62	26	116	370	56	592	298	72	86	18	
49080	HarvardOxford-combined_41	2220	3476	3602	198	2206	1948	120	1138	58	236	4	650	194	4	36	62	198	94	150	360	24	116	0	14	10	8	12	2	6	2	4	10	1552	2	0	2	2	2	0	12	0	1732	966	614	56	626	2	188	18	6	14	2	30	26	6	22	0	0	0	0	0	4	0	0	8	0	0	0	0	12	0	8	2	6	16	4	8	24	16	2	12	12	2	10	4	2	2	0	6	0	0	0	0	0	0	6	182	262	68	20	6	60	34	16	8	58	68	20	406	58	18	44	4	
83244	HarvardOxford-combined_42	278	6312	1074	4	90	362	2502	1382	222	550	2	848	220	0	6	50	2868	1106	1716	1672	58	412	0	2	8	2	4	0	0	0	2	14	392	2	0	0	0	0	0	2	1732	0	5294	3462	3184	4472	0	56	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	4	0	0	2	2	0	0	0	0	4	2	2	2	2	0	0	0	0	0	0	0	2	2	12	2	2	0	12	4	0	2	6	8	2	1120	42	2	12	2	
102608	HarvardOxford-combined_43	824	5836	328	6	174	1678	1578	952	106	1920	0	994	240	0	16	44	1594	684	5510	4828	50	238	0	2	12	0	4	0	2	0	34	0	560	0	0	0	0	0	0	0	966	5294	0	1582	2194	10306	0	42	2	0	0	0	2	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	2	0	0	2	2	0	0	0	0	0	0	2	16	34	20	4	2	32	4	0	0	14	16	2	2332	180	12	12	0	
176676	HarvardOxford-combined_44	4138	9668	304	16	414	162	184	14542	11130	500	1334	710	126	32	146	72	396	1218	478	434	92	3164	274	1192	142	0	116	4	10	96	106	630	5780	92	368	1692	14	32	196	1486	614	3462	1582	0	3910	1344	62	4132	174	0	12	0	6	6	8	398	2	0	0	0	0	80	4	0	10	2	0	0	0	28	0	96	6	10	76	6	12	30	74	60	70	450	80	160	110	68	8	12	0	0	0	4	0	0	6	68	238	1302	88	188	78	202	1302	284	40	872	1932	30	936	184	1700	194	36	
45824	HarvardOxford-combined_45	114	3358	26	2	20	28	58	398	1232	222	2	184	16	4	20	16	290	1944	382	266	28	1406	2	0	0	0	2	0	0	0	2	10	110	0	0	0	0	0	0	2	56	3184	2194	3910	0	2836	0	30	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	4	2	0	0	2	0	0	0	0	0	0	522	10	0	4	0	
101592	HarvardOxford-combined_46	536	3758	218	2	128	534	722	550	390	3292	48	1034	354	6	14	36	1802	5268	2210	3944	676	3120	4	2	10	0	4	0	2	0	36	0	372	0	0	0	0	0	0	0	626	4472	10306	1344	2836	0	0	22	4	0	0	0	2	0	0	4	0	0	0	0	0	4	0	0	0	2	0	0	0	2	0	2	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	2	12	26	14	4	2	30	0	0	0	14	16	2	1774	178	8	6	0	
26696	HarvardOxford-combined_47	188	70	12	0	2	6	12	190	48	0	12	2	0	6	0	0	6	2	0	0	0	122	0	1286	14	0	26	8	8	444	2084	1548	78	308	440	536	136	134	42	212	2	0	0	62	0	0	0	350	94	0	6	0	0	0	4	98	2	0	2	0	0	56	0	0	0	2	0	0	0	70	0	586	2	4	30	10	10	74	338	198	22	40	54	392	12	20	16	0	0	0	0	6	0	0	292	110	182	274	16	70	36	174	208	18	12	560	346	16	126	28	284	40	12	
257772	HarvardOxford-combined_48	7260	4854	184	26	206	94	48	6398	3034	22	1796	1044	36	1990	332	316	50	46	2	10	6	8742	6410	4408	102	2	168	12	26	72	740	4920	3746	288	770	5044	256	1022	5478	7782	188	56	42	4132	30	22	350	0	434	16	44	0	60	44	22	490	14	0	2	0	0	174	8	2	44	14	0	0	0	132	4	4580	30	26	140	12	18	172	1008	1750	148	274	244	2168	76	76	44	60	0	0	0	44	0	0	250	3338	2102	2496	302	766	340	1914	1530	166	68	6218	3162	192	7762	2172	544	454	174	
508632	HarvardOxford-combined_101	24974	202	2186	30	54	54	148	930	104	2	40	14	2	8	10	0	82	74	0	0	0	214	0	258	1116	52	6310	2688	7954	1430	894	742	422	582	262	2040	194	186	34	42	18	0	2	174	0	4	94	434	0	2344	11186	10106	7186	2160	676	5064	46	12	36	162	52	436	548	64	1704	1100	28	4	2	2766	142	2662	4290	174	7534	3184	8202	3254	1824	3334	13932	1236	562	9160	388	300	732	2826	1696	452	404	1240	188	264	140	7552	5928	10662	12960	25718	1182	2530	3776	1272	3514	2190	3356	644	1490	730	1356	468	126	
175616	HarvardOxford-combined_102	382	0	984	100	4	12	20	58	0	0	0	4	2	2	0	0	20	28	0	0	0	20	0	8	54	32	98	48	54	10	24	10	12	32	6	152	8	2	0	2	6	0	0	0	0	0	0	16	2344	0	4940	174	804	642	1708	10888	1048	12	44	374	160	70	1236	150	1436	958	94	2	2	956	118	146	142	74	308	16	36	34	184	678	11276	96	46	466	8	62	134	670	4266	6858	1078	7190	3034	822	0	2390	86	192	86	15044	382	322	50	302	50	174	480	22	80	40	66	36	12	
311168	HarvardOxford-combined_103	2774	30	12126	162	24	62	270	160	2	0	0	8	0	2	2	4	114	90	0	0	0	86	0	34	42	3702	268	1460	4922	932	950	88	78	136	22	78	16	16	46	36	14	2	0	12	0	0	6	44	11186	4940	0	11046	4560	19128	9504	1116	4	8	4	220	122	22	258	14	432	230	0	4	0	368	8	74	108	6060	274	3560	6072	2934	1392	134	1862	228	126	236	70	28	50	96	2158	2150	8	144	14	22	0	208	250	6520	358	11126	2852	9962	460	204	18	382	1522	56	716	762	218	168	8	
88464	HarvardOxford-combined_104	26	0	808	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	2	4	32	14	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10106	174	11046	0	1250	6402	10176	70	2	30	2	544	422	8	1362	110	268	36	2	374	162	18	20	2	0	24	4	4	4	2	0	4	84	2	0	2	2	0	0	2	108	56	24	16	12	54	0	8	0	12	8	246	4	12	2	6	0	4	16	2	16	2	2	0	0	
79544	HarvardOxford-combined_105	1034	44	1280	892	20	48	48	238	2	2	0	18	4	10	10	0	46	64	0	2	4	54	2	16	18	2	100	290	316	26	44	12	54	66	4	32	6	4	2	10	30	0	2	6	0	2	0	60	7186	804	4560	1250	0	9054	44	336	0	0	2	14	4	8	82	4	64	52	0	0	0	104	4	20	12	6	92	74	154	62	72	56	974	44	4	38	14	10	22	20	3204	34	2	44	4	4	0	82	634	1068	424	514	32	800	102	42	34	606	750	106	586	264	102	118	46	
127436	HarvardOxford-combined_106	312	28	2834	1250	4	66	58	178	0	2	0	8	0	4	0	0	34	38	0	0	2	34	0	8	8	52	50	318	398	26	30	6	46	36	2	20	0	2	2	6	26	0	0	6	0	0	0	44	2160	642	19128	6402	9054	0	7908	326	10	64	26	500	180	0	270	10	234	110	106	18	2	66	4	10	6	32	50	42	108	24	32	18	142	24	2	24	10	8	12	10	3170	1702	102	78	96	172	0	40	482	742	248	422	28	736	48	26	30	482	592	66	376	174	68	94	32	
343080	HarvardOxford-combined_107	244	14	1620	46	6	14	6564	260	0	0	2	2	0	2	0	0	344	80	2	0	2	54	0	2	50	3136	156	48	576	444	218	4	204	160	22	66	6	14	32	32	6	0	0	8	0	0	4	22	676	1708	9504	10176	44	7908	0	798	38	812	124	10446	3396	8	3516	396	23336	630	5488	6658	330	248	44	34	16	1822	116	210	1090	976	508	48	542	150	24	90	10	48	68	60	188	4254	1348	372	560	2164	2	84	648	6568	1174	6646	13574	14988	816	2304	20	5046	2098	532	238	680	272	388	14	
476020	HarvardOxford-combined_108	2404	390	648	96	22	90	190	1294	74	0	18	8	2	16	6	2	104	66	0	4	0	610	10	386	1124	28	2950	474	470	244	582	682	834	536	190	754	136	134	90	68	22	0	4	398	0	4	98	490	5064	10888	1116	70	336	326	798	0	5262	48	5302	278	58	5156	488	208	890	1074	38	0	4	5896	844	1410	1142	136	5476	514	776	1848	2024	3670	16712	16378	2240	3396	3416	1800	1410	2124	1046	1988	324	11288	732	280	80	5692	5088	16112	4302	9452	3610	3944	14404	19712	2068	3292	4612	348	992	626	1980	558	112	
49948	HarvardOxford-combined_109	24	2	2	0	2	0	4	0	0	0	0	2	0	0	0	0	2	0	0	0	0	4	0	0	12	0	24	8	10	4	2	24	4	2	4	12	2	2	0	0	0	0	0	2	0	0	2	14	46	1048	4	2	0	10	38	5262	0	212	1482	164	2	386	56	6	70	166	10	10	0	2646	56	100	8	0	40	2	4	40	284	1810	156	108	126	80	44	204	264	144	10	502	42	6384	934	408	4	1008	6	18	2	274	14	16	40	16	8	6	12	0	4	0	6	0	0	
18308	HarvardOxford-combined_110	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	8	30	0	64	812	48	212	0	528	3326	74	48	92	4	64	140	70	920	60	966	4	0	0	0	0	0	0	0	4	26	4	0	0	0	0	10	4	0	2	62	102	64	16	1314	0	2	0	4	0	26	8	2	0	0	0	0	2	0	0	0	0	0	0	
50052	HarvardOxford-combined_111	16	0	4	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	2	16	0	20	0	6	0	4	8	0	2	2	132	0	0	0	0	0	0	0	0	2	0	2	2	36	44	4	2	2	26	124	5302	1482	528	0	3670	8	1286	22	36	566	1334	16	30	2	4562	350	80	10	0	54	2	6	10	126	950	94	28	34	412	34	66	148	596	4	60	88	1028	16	136	2	1130	10	20	2	58	44	32	10	12	20	4	20	0	8	4	0	2	0	
112112	HarvardOxford-combined_112	64	0	30	2	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	4	0	10	2	8	2	8	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	162	374	220	544	14	500	10446	278	164	3326	3670	0	10050	112	1592	1218	1158	1502	452	4620	3870	7710	182	0	12	0	14	0	4	6	38	284	160	12	10	6	18	48	50	90	46	424	834	110	88	684	0	94	0	24	4	556	56	30	6	2	0	2	20	2	6	6	0	0	0	
91288	HarvardOxford-combined_113	12	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	52	160	122	422	4	180	3396	58	2	74	8	10050	0	58	556	3698	712	522	26	2556	6608	11402	3788	0	2	0	0	0	2	2	6	46	80	12	16	10	20	82	132	284	26	36	0	10	6	10	0	106	0	4	2	232	10	6	4	2	2	0	4	2	0	2	0	0	0	
78152	HarvardOxford-combined_114	318	100	40	2	2	12	22	168	10	0	2	0	0	4	0	0	22	4	0	4	0	22	0	168	8	4	82	16	16	26	150	278	124	114	30	142	44	38	8	8	4	2	4	80	0	4	56	174	436	70	22	8	8	0	8	5156	386	48	1286	112	58	0	192	288	350	638	0	0	6	2550	1154	412	10	18	168	8	14	106	278	802	122	420	818	1644	846	1566	1296	608	12	6	2	402	6	2	20	814	1316	3170	1004	326	308	384	3718	116	326	986	1108	66	102	52	516	70	20	
63116	HarvardOxford-combined_115	166	2	200	34	2	6	14	24	4	0	2	0	0	0	0	2	10	18	0	0	0	6	0	2	14	8	28	38	34	6	30	8	4	10	2	40	0	4	6	8	0	2	0	4	0	0	0	8	548	1236	258	1362	82	270	3516	488	56	92	22	1592	556	192	0	2918	1572	1350	26	88	68	2734	796	22	8	0	36	20	26	4	66	132	808	230	298	162	76	1478	1724	684	270	416	48	252	162	212	0	590	66	74	36	2384	78	140	16	28	10	104	210	30	38	30	10	10	2	
74596	HarvardOxford-combined_116	28	0	14	0	0	2	4	4	0	0	0	0	0	0	0	10	6	8	0	0	0	6	0	2	6	0	14	6	4	0	8	6	4	12	0	88	2	4	40	54	0	0	0	0	0	0	0	2	64	150	14	110	4	10	396	208	6	4	36	1218	3698	288	2918	0	1160	1262	2	62	202	4532	5986	10	8	0	20	4	2	0	12	200	126	596	760	370	180	2692	4838	3196	24	46	4	32	14	14	0	820	18	22	0	190	28	270	20	16	6	20	30	4	16	14	10	2	0	
326416	HarvardOxford-combined_117	482	20	376	30	4	28	1106	306	2	0	2	4	2	2	0	6	1382	728	0	0	2	84	0	10	38	118	182	46	150	848	2248	18	208	172	16	68	16	12	34	20	8	0	0	10	0	0	0	44	1704	1436	432	268	64	234	23336	890	70	64	566	1158	712	350	1572	1160	0	19190	5658	8098	2052	920	494	58	32	90	136	28	166	506	2748	110	492	200	70	140	70	324	156	152	174	2850	306	218	226	320	2	140	1156	15596	2292	9324	13794	20482	1772	1982	114	3638	2268	414	238	476	350	322	16	
197360	HarvardOxford-combined_118	276	12	310	30	6	6	104	114	0	0	0	4	0	0	0	12	122	84	0	0	0	78	0	8	28	20	78	64	100	228	832	10	66	74	20	80	0	4	40	38	0	0	0	2	0	2	2	14	1100	958	230	36	52	110	630	1074	166	140	1334	1502	522	638	1350	1262	19190	0	436	6286	4432	16088	652	24	10	44	54	22	76	188	4648	86	368	110	78	100	106	568	216	244	128	568	118	384	298	406	2	104	128	4928	174	5840	5744	8842	536	414	12	226	940	78	158	394	124	134	2	
48416	HarvardOxford-combined_119	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	94	0	2	0	106	5488	38	10	70	16	452	26	0	26	2	5658	436	0	6892	8	74	2	0	0	0	0	0	0	0	6	2	16	0	0	0	0	0	2	2	4	1702	1504	18	112	1312	0	0	0	0	0	90	6	0	0	2	0	0	0	0	0	0	0	0	0	
91592	HarvardOxford-combined_120	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	4	374	0	18	6658	0	10	920	30	4620	2556	0	88	62	8098	6286	6892	0	6182	682	8	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	138	482	0	8	1654	0	0	0	2	0	4	2	0	0	0	0	0	2	0	0	0	0	0	0	
66832	HarvardOxford-combined_121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	162	0	2	330	4	0	60	2	3870	6608	6	68	202	2052	4432	8	6182	0	9310	76	2	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	2	0	2	0	2	0	6	0	0	0	2	0	6	4	2	0	0	0	0	2	0	0	0	0	0	0	
438400	HarvardOxford-combined_122	1076	84	518	64	14	44	212	576	14	4	0	6	2	12	10	8	266	260	0	0	2	7694	2	152	78	36	310	190	414	1622	10408	642	164	152	68	346	22	40	100	86	12	0	0	28	0	2	70	132	2766	956	368	18	104	66	248	5896	2646	966	4562	7710	11402	2550	2734	4532	920	16088	74	682	9310	0	12334	592	32	140	202	96	284	2594	19572	8716	818	2062	1676	614	384	1886	1756	1880	178	554	94	2680	1488	2116	490	5704	558	8922	596	5746	5200	14268	1448	1126	134	1870	3728	266	1812	3238	392	352	62	
88928	HarvardOxford-combined_123	42	0	14	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	10	0	52	28	22	2	6	2	2	2	0	16	0	0	0	2	0	0	0	0	0	0	0	4	142	118	8	20	4	4	44	844	56	4	350	182	3788	1154	796	5986	494	652	2	8	76	12334	0	4	18	2	78	10	16	6	32	468	182	170	220	96	138	1074	1850	6026	16	20	2	112	6	6	0	6276	18	18	4	148	32	24	18	16	18	12	18	4	14	4	6	2	0	
189576	HarvardOxford-combined_124	472	118	104	24	8	18	44	412	36	0	6	6	0	2	2	0	30	16	0	0	0	546	0	1112	76	8	234	42	76	84	2166	6730	180	304	192	2304	140	162	66	18	8	0	0	96	2	2	586	4580	2662	146	74	2	20	10	34	1410	100	0	80	0	0	412	22	10	58	24	0	2	2	592	4	0	46	48	506	68	118	2250	7334	8806	976	782	1586	14528	124	168	870	250	12	12	0	250	0	0	1978	6814	2650	3126	758	2152	584	1492	1852	356	326	4230	1664	104	276	214	582	186	34	
65016	HarvardOxford-combined_125	3794	12	154	2	6	4	4	78	2	0	2	0	0	0	0	0	4	4	0	0	0	10	0	16	1264	0	3862	478	506	114	34	20	192	60	14	80	4	0	0	2	2	0	0	6	0	0	2	30	4290	142	108	0	12	6	16	1142	8	0	10	12	2	10	8	8	32	10	0	0	0	32	18	46	0	8	6302	1232	374	60	30	80	4568	128	12	302	8	6	118	326	10	18	14	120	10	10	0	272	126	204	114	228	28	82	132	356	126	96	128	22	46	24	58	40	16	
87084	HarvardOxford-combined_126	230	24	5364	18	0	40	528	98	0	0	0	2	0	0	0	0	50	32	0	0	0	64	0	12	34	6102	64	146	2970	366	422	20	36	34	10	30	6	2	2	6	6	2	0	10	0	0	4	26	174	74	6060	24	6	32	1822	136	0	0	0	0	0	18	0	0	90	44	0	0	0	140	2	48	8	0	116	1186	3896	1370	876	82	98	54	12	136	14	4	10	6	10	8	2	2	0	2	0	64	298	3584	72	392	98	2472	274	64	22	500	1460	52	166	518	88	84	12	
