label,x,y,z
1.0,56.339285714285715,103.92857142857143,139.09821428571428
2.0,64.8103448275862,103.01724137931035,132.5
3.0,67.5909090909091,108.27272727272727,148.38181818181818
4.0,68.49014778325123,111.52463054187191,140.54926108374383
5.0,53.55990783410138,108.1405529953917,130.35253456221199
6.0,59.31818181818182,113.63223140495867,122.97107438016529
7.0,50.40783410138249,117.19124423963133,134.20506912442397
8.0,55.666666666666664,123.62280701754386,130.140350877193
9.0,41.455357142857146,131.63392857142858,116.9375
10.0,43.67142857142857,124.38571428571429,122.44285714285714
11.0,51.818385650224215,121.16367713004485,114.41031390134529
12.0,53.548458149779734,130.6057268722467,113.22246696035242
13.0,46.78155339805825,126.6747572815534,102.30582524271844
14.0,39.451541850220266,126.87004405286343,94.92290748898678
15.0,32.46,129.44,102.5
16.0,37.809734513274336,133.6946902654867,108.44690265486726
17.0,108.83333333333333,104.60416666666667,148.60416666666666
18.0,108.87185929648241,99.27386934673366,140.16834170854273
19.0,119.86,106.46,146.03
20.0,117.85751295336787,104.7279792746114,137.65025906735752
21.0,125.65384615384616,107.8076923076923,125.25
22.0,124.54926108374384,116.83497536945812,125.55418719211822
23.0,128.39344262295083,104.99180327868852,135.327868852459
24.0,134.21555555555557,113.50444444444445,134.34
25.0,144.4678714859438,120.79718875502007,119.3273092369478
26.0,136.17241379310346,113.73275862068965,116.89655172413794
27.0,131.0206611570248,123.34297520661157,112.33471074380165
28.0,136.042600896861,129.36995515695068,118.347533632287
29.0,147.3448275862069,132.7844827586207,111.43103448275862
30.0,138.62871287128712,130.0148514851485,104.54950495049505
31.0,147.6860465116279,130.11627906976744,98.67441860465117
32.0,154.65757575757576,134.26969696969698,94.39090909090909
33.0,73.26851851851852,122.92592592592592,146.28703703703704
34.0,64.89449541284404,122.07798165137615,140.38990825688074
35.0,71.38679245283019,135.39622641509433,136.23584905660377
36.0,70.04,125.63,127.27
37.0,73.18778280542986,147.4049773755656,132.13800904977376
38.0,74.15765765765765,142.62612612612614,121.21171171171171
39.0,74.11506276150628,160.31589958158995,126.86820083682008
40.0,73.89622641509433,155.6320754716981,116.31132075471699
41.0,74.11061946902655,189.17256637168143,92.16371681415929
42.0,69.15322580645162,181.71774193548387,92.87903225806451
43.0,71.1695278969957,192.16523605150215,79.13519313304721
44.0,66.8103448275862,183.22413793103448,77.12931034482759
45.0,71.19731800766283,169.51149425287358,116.36973180076629
46.0,71.48755186721992,163.246887966805,107.11410788381743
47.0,75.11883408071749,180.07847533632287,110.1322869955157
48.0,74.2025641025641,176.4897435897436,101.27948717948718
49.0,113.32527881040892,132.27695167286245,137.9721189591078
50.0,117.18070175438596,125.44035087719298,131.73508771929824
51.0,116.43103448275862,117.25095785440612,136.58429118773947
52.0,109.27443609022556,119.43984962406014,144.49248120300751
53.0,111.88732394366197,155.88732394366198,128.2112676056338
54.0,110.26623376623377,151.96320346320346,118.56060606060606
55.0,112.73430962343096,142.65899581589957,132.5418410041841
56.0,110.03586497890295,140.28902953586498,121.08227848101266
57.0,113.26923076923077,180.42712550607288,88.96153846153847
58.0,109.25652173913043,189.1086956521739,93.73478260869565
59.0,117.13197026022304,183.82342007434943,79.58550185873607
60.0,111.1614785992218,191.83073929961088,77.41828793774319
61.0,108.77751196172248,173.26555023923444,102.16507177033493
62.0,110.69047619047619,179.13736263736263,110.98351648351648
63.0,110.49215686274509,167.7,119.37843137254902
64.0,109.72131147540983,161.0,109.06557377049181
65.0,68.32222222222222,185.1,67.15185185185184
66.0,76.41570881226053,182.9904214559387,57.35823754789272
67.0,75.34388185654008,166.03586497890296,52.14556962025316
68.0,75.3923076923077,148.46923076923076,52.223076923076924
69.0,107.76271186440678,167.15254237288136,51.91525423728814
70.0,108.10504201680672,151.64285714285714,51.58403361344538
71.0,113.26923076923077,188.2069597069597,67.2985347985348
72.0,105.076,182.716,55.732
73.0,52.46319018404908,162.10122699386503,104.64723926380368
74.0,50.86241610738255,167.0234899328859,95.26510067114094
75.0,64.34982935153583,166.46587030716722,99.13481228668942
76.0,61.66883116883117,175.5909090909091,102.31818181818181
77.0,63.16428571428571,175.14285714285714,84.09285714285714
78.0,56.32575757575758,180.21969696969697,90.41666666666667
79.0,48.07551020408163,176.11632653061224,83.74897959183673
80.0,55.00176678445229,179.84982332155477,76.29505300353357
81.0,53.40657439446367,135.21280276816609,122.69377162629758
82.0,63.13253012048193,130.1265060240964,127.50602409638554
83.0,59.97712418300654,144.91176470588235,130.12745098039215
84.0,63.219367588932805,143.5671936758893,120.71343873517786
85.0,45.03050397877984,150.74403183023873,112.94031830238727
86.0,51.28481012658228,143.04430379746836,111.21518987341773
87.0,62.35585585585586,152.18168168168168,111.02252252252252
88.0,58.983333333333334,156.97222222222223,119.75555555555556
89.0,129.1551724137931,126.11379310344827,129.91379310344828
90.0,138.7325581395349,131.55426356589146,124.16666666666667
91.0,130.04666666666665,137.67333333333335,117.05333333333333
92.0,122.47474747474747,138.52020202020202,126.27777777777777
93.0,131.93234323432344,147.2986798679868,114.85643564356435
94.0,134.98208469055373,154.79967426710098,109.34039087947883
95.0,120.93558282208589,148.62883435582822,117.0521472392638
96.0,121.60850439882698,159.233137829912,113.8782991202346
97.0,120.3840579710145,178.9231884057971,98.70289855072464
98.0,120.29472140762464,169.32697947214075,104.8108504398827
99.0,135.6204481792717,166.51680672268907,98.9873949579832
100.0,126.02552552552552,161.97747747747746,99.38888888888889
101.0,132.5440251572327,171.95911949685535,87.92138364779875
102.0,137.13194444444446,174.4375,79.21527777777777
103.0,123.38796680497926,179.2551867219917,87.37136929460581
104.0,126.03888888888889,181.0,75.7611111111111
105.0,50.515151515151516,176.84848484848484,66.93181818181819
106.0,60.121848739495796,183.75210084033614,62.02100840336134
107.0,65.73756906077348,176.84254143646407,58.58839779005525
108.0,65.3390243902439,163.61219512195123,56.52926829268293
109.0,132.87121212121212,176.46212121212122,62.34848484848485
110.0,126.75101214574899,182.60526315789474,65.13967611336032
111.0,118.5952380952381,168.92857142857142,55.888888888888886
112.0,114.97619047619048,183.26190476190476,58.05555555555556
113.0,40.21830985915493,140.99765258215962,100.9225352112676
114.0,51.06140350877193,136.28947368421052,94.26842105263158
115.0,32.565693430656935,137.63138686131387,87.08394160583941
116.0,42.28195488721804,137.7781954887218,80.8609022556391
117.0,130.17536231884057,137.3289855072464,101.9608695652174
118.0,144.5974212034384,142.1733524355301,102.71776504297995
119.0,149.0763688760807,140.9092219020173,85.83717579250721
120.0,137.85754189944134,140.25977653631284,80.64525139664805
121.0,49.32392026578073,145.37707641196013,96.66611295681064
122.0,49.216510903426794,155.46573208722742,93.8644859813084
123.0,36.60932475884244,150.39710610932477,95.98553054662379
124.0,38.96527777777778,148.77777777777777,84.4375
125.0,43.14425770308123,167.84453781512605,79.52521008403362
126.0,53.81638418079096,161.79943502824858,79.27401129943503
127.0,46.718430034129696,151.1962457337884,75.2098976109215
128.0,37.578947368421055,156.69078947368422,76.60526315789474
129.0,149.39679715302492,156.34341637010675,81.59608540925267
130.0,143.25555555555556,150.71481481481482,75.52962962962962
131.0,143.24172185430464,166.9437086092715,77.0364238410596
132.0,134.33391003460207,159.53806228373702,77.17820069204153
133.0,143.72529644268775,156.6581027667984,95.93873517786561
134.0,146.59302325581396,148.86434108527132,92.06589147286822
135.0,130.340830449827,148.93598615916954,98.0916955017301
136.0,132.79665071770336,153.2846889952153,87.33253588516746
137.0,45.52564102564103,168.10683760683762,62.11538461538461
138.0,54.61244979919679,165.31927710843374,60.066265060240966
139.0,41.86073059360731,157.71461187214612,63.39497716894977
140.0,47.333333333333336,150.86666666666667,64.03333333333333
141.0,62.31651376146789,157.44495412844037,59.03211009174312
142.0,54.83165829145729,150.04773869346732,57.505025125628144
143.0,69.859477124183,141.2058823529412,50.173202614379086
144.0,65.92696629213484,149.3876404494382,50.825842696629216
145.0,145.87254901960785,156.38235294117646,65.06862745098039
146.0,137.575,153.91666666666666,62.225
147.0,140.4655172413793,169.3706896551724,63.86206896551724
148.0,132.868,164.66,60.572
149.0,122.69409282700423,160.457805907173,57.78270042194093
150.0,129.26394849785407,152.42274678111588,57.787553648068666
151.0,120.9121212121212,150.97272727272727,51.736363636363635
152.0,113.62328767123287,144.44520547945206,49.74657534246575
153.0,33.339416058394164,126.47080291970804,79.41240875912409
154.0,44.98905109489051,124.68248175182482,83.52919708029196
155.0,49.44444444444444,98.93518518518519,90.41666666666667
156.0,46.55309734513274,112.26106194690266,88.98672566371681
157.0,152.62941176470588,128.8470588235294,81.47058823529412
158.0,141.17052023121389,126.76589595375722,82.76011560693641
159.0,135.92160278745644,103.23867595818815,91.67770034843205
160.0,140.85754189944134,114.63966480446928,88.24860335195531
161.0,84.08992805755396,136.14028776978418,138.26978417266187
162.0,85.390625,146.453125,136.03125
163.0,86.64671814671814,145.32625482625483,122.46911196911196
164.0,85.69245283018869,133.82075471698113,122.91509433962264
165.0,81.93494423791822,125.81598513011153,138.30669144981414
166.0,85.14539007092199,121.02482269503547,145.52836879432624
167.0,84.55622489959839,122.66064257028113,126.98192771084338
168.0,85.09515570934256,111.6280276816609,128.71453287197232
169.0,98.95245901639345,121.27377049180328,138.86065573770492
170.0,97.57473309608541,111.87366548042705,143.65302491103202
171.0,98.95018450184502,118.14575645756457,126.3450184501845
172.0,98.36018237082067,105.05927051671732,128.67629179331308
173.0,100.24242424242425,140.9318181818182,138.56060606060606
174.0,98.94859813084112,130.18847352024923,137.9330218068536
175.0,98.41666666666667,132.05555555555554,123.35416666666667
176.0,98.66025641025641,145.2051282051282,127.23717948717949
177.0,82.23571428571428,140.36428571428573,59.81428571428572
178.0,100.62456747404845,141.1643598615917,59.93944636678201
179.0,81.24157303370787,182.0561797752809,78.63483146067416
180.0,85.43261455525607,192.00943396226415,81.32479784366576
181.0,85.00681198910081,175.61716621253407,94.60354223433242
182.0,86.30929095354523,187.53667481662592,99.17481662591688
183.0,86.29640718562874,154.3443113772455,115.05688622754491
184.0,85.6734693877551,160.64795918367346,126.91326530612245
185.0,85.41777188328912,165.39124668435014,105.66710875331565
186.0,86.97150259067358,175.35492227979276,114.3238341968912
187.0,99.47435897435898,182.1849816849817,98.57326007326007
188.0,99.45348837209302,189.2984496124031,90.34496124031008
189.0,99.42307692307692,191.62374581939798,79.31605351170569
190.0,100.30141843971631,179.22340425531914,76.52836879432624
191.0,98.20731707317073,157.109756097561,118.32113821138212
192.0,99.17153284671532,159.21532846715328,129.9963503649635
193.0,98.7570281124498,168.28313253012047,113.50401606425703
194.0,99.01383399209486,178.08893280632412,110.43675889328063
195.0,85.46078431372548,183.5686274509804,64.22549019607843
196.0,84.94791666666667,192.04166666666666,66.09375
197.0,85.0774647887324,161.35915492957747,60.2887323943662
198.0,84.72099447513813,173.9254143646409,63.01933701657459
199.0,95.7760736196319,159.40797546012269,60.92944785276074
200.0,98.8076923076923,171.77125506072875,64.71862348178138
201.0,98.95161290322581,191.1267281105991,63.854838709677416
202.0,99.0589519650655,181.42576419213975,65.48689956331877
203.0,86.56315789473685,181.76315789473685,53.28947368421053
204.0,86.0774647887324,167.7488262910798,51.86150234741784
205.0,85.90084388185655,156.16244725738397,52.221518987341774
206.0,81.74528301886792,145.8679245283019,54.4811320754717
207.0,102.34444444444445,145.48888888888888,55.46666666666667
208.0,97.7803738317757,154.47196261682242,51.59345794392523
209.0,97.62953367875647,166.90414507772022,52.17875647668394
210.0,96.17088607594937,180.06962025316454,53.39873417721519
211.0,50.29746835443038,121.76582278481013,70.18776371308017
212.0,53.178899082568805,128.82110091743118,81.19724770642202
213.0,56.166666666666664,106.62345679012346,90.10493827160494
214.0,54.035545023696685,114.99289099526067,81.8175355450237
215.0,55.70816326530612,141.20204081632653,79.08775510204082
216.0,60.83204633204633,150.76254826254825,76.65444015444015
217.0,50.6779359430605,135.88078291814946,66.59252669039147
218.0,59.99387755102041,142.21428571428572,59.60204081632653
219.0,133.6769547325103,120.79629629629629,70.2201646090535
220.0,130.71,128.72,80.16
221.0,125.36451612903225,107.15806451612903,89.58387096774193
222.0,128.99765258215962,114.21830985915493,81.49530516431925
223.0,129.12443438914028,140.61764705882354,76.57239819004525
224.0,126.47402597402598,150.83766233766235,74.01515151515152
225.0,133.94444444444446,135.9962962962963,65.14444444444445
226.0,123.5126582278481,143.95147679324896,58.29746835443038
227.0,87.08646616541354,143.02631578947367,98.94360902255639
228.0,86.41327913279133,159.69783197831978,94.41869918699187
229.0,85.62844036697248,171.0091743119266,80.80733944954129
230.0,85.72796352583586,162.43313069908814,68.87082066869301
231.0,97.15168539325843,148.0131086142322,96.61985018726591
232.0,99.4585798816568,162.70710059171597,94.34615384615384
233.0,99.83681462140993,171.25195822454307,85.6958224543081
234.0,97.50923076923077,162.75230769230768,72.72153846153846
235.0,85.85449735449735,146.74338624338625,107.26190476190476
236.0,85.25982532751091,134.33406113537117,110.07205240174673
237.0,84.56349206349206,122.56349206349206,115.41269841269842
238.0,85.76359832635983,116.00627615062761,109.7050209205021
239.0,86.25213675213675,100.88461538461539,109.06410256410257
240.0,82.92379182156134,102.76022304832713,117.24349442379182
241.0,83.86296296296297,87.9,120.72222222222223
242.0,83.2104247104247,85.6891891891892,109.42664092664093
243.0,96.96692607003891,121.59727626459144,110.55447470817121
244.0,97.56882591093117,132.91295546558703,110.55668016194332
245.0,98.93866171003718,143.6449814126394,108.6635687732342
246.0,98.47260273972603,156.6917808219178,105.45890410958904
247.0,99.8121387283237,106.85838150289017,117.80057803468208
248.0,96.26642335766424,107.27372262773723,108.16423357664233
249.0,97.82307692307693,85.01538461538462,107.23846153846154
250.0,98.8202416918429,92.77794561933534,115.01963746223565
251.0,83.33695652173913,83.1086956521739,88.18478260869566
252.0,86.58602150537635,81.81182795698925,100.78673835125448
253.0,97.56077348066299,81.68232044198895,99.14088397790056
