"Schaefer2018_300Parcels_7Networks_order_FSLMNI152_1mm","Schaefer7_300"
"region","label"
147,"7Networks_LH_Default_pCunPCC_5"
148,"7Networks_LH_Default_pCunPCC_6"
149,"7Networks_LH_Default_pCunPCC_7"
150,"7Networks_LH_Default_pCunPCC_8"
151,"7Networks_RH_Vis_1"
152,"7Networks_RH_Vis_2"
153,"7Networks_RH_Vis_3"
154,"7Networks_RH_Vis_4"
155,"7Networks_RH_Vis_5"
156,"7Networks_RH_Vis_6"
157,"7Networks_RH_Vis_7"
158,"7Networks_RH_Vis_8"
159,"7Networks_RH_Vis_9"
160,"7Networks_RH_Vis_10"
161,"7Networks_RH_Vis_11"
162,"7Networks_RH_Vis_12"
163,"7Networks_RH_Vis_13"
164,"7Networks_RH_Vis_14"
165,"7Networks_RH_Vis_15"
166,"7Networks_RH_Vis_16"
167,"7Networks_RH_Vis_17"
168,"7Networks_RH_Vis_18"
169,"7Networks_RH_Vis_19"
170,"7Networks_RH_Vis_20"
171,"7Networks_RH_Vis_21"
172,"7Networks_RH_Vis_22"
173,"7Networks_RH_Vis_23"
174,"7Networks_RH_SomMot_1"
175,"7Networks_RH_SomMot_2"
176,"7Networks_RH_SomMot_3"
177,"7Networks_RH_SomMot_4"
178,"7Networks_RH_SomMot_5"
179,"7Networks_RH_SomMot_6"
180,"7Networks_RH_SomMot_7"
181,"7Networks_RH_SomMot_8"
182,"7Networks_RH_SomMot_9"
183,"7Networks_RH_SomMot_10"
184,"7Networks_RH_SomMot_11"
185,"7Networks_RH_SomMot_12"
186,"7Networks_RH_SomMot_13"
187,"7Networks_RH_SomMot_14"
188,"7Networks_RH_SomMot_15"
189,"7Networks_RH_SomMot_16"
190,"7Networks_RH_SomMot_17"
191,"7Networks_RH_SomMot_18"
192,"7Networks_RH_SomMot_19"
193,"7Networks_RH_SomMot_20"
194,"7Networks_RH_SomMot_21"
195,"7Networks_RH_SomMot_22"
196,"7Networks_RH_SomMot_23"
197,"7Networks_RH_SomMot_24"
198,"7Networks_RH_SomMot_25"
199,"7Networks_RH_SomMot_26"
200,"7Networks_RH_SomMot_27"
201,"7Networks_RH_SomMot_28"
202,"7Networks_RH_DorsAttn_Post_1"
203,"7Networks_RH_DorsAttn_Post_2"
204,"7Networks_RH_DorsAttn_Post_3"
205,"7Networks_RH_DorsAttn_Post_4"
206,"7Networks_RH_DorsAttn_Post_5"
207,"7Networks_RH_DorsAttn_Post_6"
208,"7Networks_RH_DorsAttn_Post_7"
209,"7Networks_RH_DorsAttn_Post_8"
210,"7Networks_RH_DorsAttn_Post_9"
211,"7Networks_RH_DorsAttn_Post_10"
212,"7Networks_RH_DorsAttn_Post_11"
213,"7Networks_RH_DorsAttn_Post_12"
214,"7Networks_RH_DorsAttn_Post_13"
215,"7Networks_RH_DorsAttn_Post_14"
216,"7Networks_RH_DorsAttn_FEF_1"
217,"7Networks_RH_DorsAttn_FEF_2"
218,"7Networks_RH_DorsAttn_FEF_3"
219,"7Networks_RH_DorsAttn_PrCv_1"
220,"7Networks_RH_SalVentAttn_TempOccPar_1"
221,"7Networks_RH_SalVentAttn_TempOccPar_2"
222,"7Networks_RH_SalVentAttn_TempOccPar_3"
223,"7Networks_RH_SalVentAttn_TempOccPar_4"
224,"7Networks_RH_SalVentAttn_TempOccPar_5"
225,"7Networks_RH_SalVentAttn_PrC_1"
226,"7Networks_RH_SalVentAttn_FrOperIns_1"
227,"7Networks_RH_SalVentAttn_FrOperIns_2"
228,"7Networks_RH_SalVentAttn_FrOperIns_3"
229,"7Networks_RH_SalVentAttn_FrOperIns_4"
230,"7Networks_RH_SalVentAttn_FrOperIns_5"
231,"7Networks_RH_SalVentAttn_FrOperIns_6"
232,"7Networks_RH_SalVentAttn_Med_1"
233,"7Networks_RH_SalVentAttn_Med_2"
234,"7Networks_RH_SalVentAttn_Med_3"
235,"7Networks_RH_SalVentAttn_Med_4"
236,"7Networks_RH_SalVentAttn_Med_5"
237,"7Networks_RH_SalVentAttn_Med_6"
238,"7Networks_RH_Limbic_OFC_1"
239,"7Networks_RH_Limbic_OFC_2"
240,"7Networks_RH_Limbic_OFC_3"
241,"7Networks_RH_Limbic_OFC_4"
242,"7Networks_RH_Limbic_TempPole_1"
243,"7Networks_RH_Limbic_TempPole_2"
244,"7Networks_RH_Limbic_TempPole_3"
245,"7Networks_RH_Limbic_TempPole_4"
246,"7Networks_RH_Limbic_TempPole_5"
